Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale
52;Pays de la Loire;44;5;08;001;Abbaretz;2 067;40;2107
52;Pays de la Loire;44;2;07;002;Aigrefeuille-sur-Maine;4 014;138;4152
52;Pays de la Loire;44;5;01;003;Ancenis-Saint-Géréon;11 037;398;11435
52;Pays de la Loire;44;3;09;006;Assérac;1 847;42;1889
52;Pays de la Loire;44;5;19;007;Avessac;2 458;55;2513
52;Pays de la Loire;44;2;29;009;Basse-Goulaine;9 136;241;9377
52;Pays de la Loire;44;3;02;010;Batz-sur-Mer;2 824;72;2896
52;Pays de la Loire;44;3;02;055;La Baule-Escoublac;16 255;542;16797
52;Pays de la Loire;44;3;20;012;La Bernerie-en-Retz;3 049;44;3093
52;Pays de la Loire;44;3;27;013;Besné;3 183;41;3224
52;Pays de la Loire;44;2;28;014;Le Bignon;3 907;71;3978
52;Pays de la Loire;44;5;03;015;Blain;9 954;174;10128
52;Pays de la Loire;44;2;30;016;La Boissière-du-Doré;1 054;18;1072
52;Pays de la Loire;44;2;21;018;Bouaye;8 008;139;8147
52;Pays de la Loire;44;3;03;019;Bouée;1 019;14;1033
52;Pays de la Loire;44;2;21;020;Bouguenais;19 903;305;20208
52;Pays de la Loire;44;2;07;022;Boussay;2 682;49;2731
52;Pays de la Loire;44;5;03;023;Bouvron;3 068;45;3113
52;Pays de la Loire;44;2;21;024;Brains;2 849;59;2908
52;Pays de la Loire;44;3;03;025;Campbon;3 959;67;4026
52;Pays de la Loire;44;2;04;026;Carquefou;20 365;466;20831
52;Pays de la Loire;44;5;18;027;Casson;2 421;28;2449
52;Pays de la Loire;44;5;18;028;Le Cellier;3 974;106;4080
52;Pays de la Loire;44;3;09;030;La Chapelle-des-Marais;4 338;91;4429
52;Pays de la Loire;44;5;06;031;La Chapelle-Glain;798;8;806
52;Pays de la Loire;44;2;30;032;La Chapelle-Heulin;3 357;49;3406
52;Pays de la Loire;44;3;03;033;La Chapelle-Launay;3 145;45;3190
52;Pays de la Loire;44;2;05;035;La Chapelle-sur-Erdre;19 551;406;19957
52;Pays de la Loire;44;2;31;037;Château-Thébaud;3 164;175;3339
52;Pays de la Loire;44;5;06;036;Châteaubriant;12 031;497;12528
52;Pays de la Loire;44;3;89;005;Chaumes-en-Retz;6 895;106;7001
52;Pays de la Loire;44;3;20;038;Chauvé;2 930;46;2976
52;Pays de la Loire;44;2;10;039;Cheix-en-Retz;1 120;8;1128
52;Pays de la Loire;44;5;08;221;La Chevallerais;1 536;19;1555
52;Pays de la Loire;44;2;28;041;La Chevrolière;5 782;88;5870
